date, pm25, pm10, o3, no2, so2, co
2018/10/18, 151, 62, , 41, , 10
2018/10/19, 143, 36, , 30, , 8
2018/10/20, 98, 23, , 30, , 7
2018/10/21, 66, 36, , 28, , 7
2018/10/22, 90, 13, , 18, , 4
2018/10/23, 47, 6, , 21, , 4
2018/10/24, 16, 9, , 22, , 5
2018/10/25, 37, 19, , 27, , 6
2018/10/26, 50, 31, , 20, , 5
2018/10/27, 77, 17, , 13, , 4
2018/10/28, 54, 20, , 12, , 5
2018/10/29, 62, 25, , 19, , 5
2018/10/30, 61, 36, , 39, , 9
2018/10/31, 67, 38, , 14, , 5
2018/11/1, 94, 51, , 28, , 9
2018/11/2, 101, 26, , 19, , 6
2018/11/3, 80, 21, , 9, , 4
2018/11/4, 69, 39, , 14, , 6
2018/11/5, 106, 42, , 20, , 6
2018/11/6, 109, 47, , 17, , 6
2018/11/7, 124, 61, , 32, , 12
2018/11/8, 142, 67, , 25, , 11
2018/11/9, 159, 65, , 15, , 7
2018/11/10, 158, 54, , 13, , 6
2018/11/11, 146, 56, , 15, , 7
2018/11/12, 150, 50, , 24, , 8
2018/11/13, 133, 24, , 22, , 6
2018/11/14, 74, 22, , 23, , 6
2018/11/15, 62, 25, , 14, , 5
2018/11/16, 73, 46, , 19, , 6
2018/11/17, 117, 57, , 21, , 9
2018/11/18, 150, 13, , 10, , 4
2018/11/19, 52, 18, , 12, , 4
2018/11/20, 60, 23, , 12, , 4
2018/11/21, 73, 29, , 19, , 5
2018/11/22, 84, 40, , 20, , 6
2018/11/23, 111, 52, , 16, , 9
2018/11/24, 144, 60, , 17, , 12
2018/11/25, 158, 25, , 11, , 6
2018/11/26, 78, 58, , 32, , 10
2018/11/27, 128, 42, , 21, , 7
2018/11/28, 108, 24, , 13, , 4
2018/11/29, 68, 27, , 14, , 5
2018/11/30, 74, 54, , 23, , 8
2018/12/1, 129, 61, , 19, , 9
2018/12/2, 150, 36, , 23, , 10
2018/12/3, 103, 32, , 23, , 9
2018/12/4, 94, 33, , 26, , 8
2018/12/5, 87, 49, , 24, , 9
2018/12/6, 131, 35, , 26, , 10
2018/12/7, 101, 24, , 21, , 7
2018/12/8, 70, 16, , 18, , 7
2018/12/9, 58, 17, , 18, , 7
2018/12/10, 55, 39, , 27, , 8
2018/12/11, 91, 36, , 22, , 8
2018/12/12, 101, 21, , 16, , 6
2018/12/13, 66, 27, , 16, , 7
2018/12/14, 82, 25, , 11, , 6
2018/12/15, 78, 26, , 13, , 7
2018/12/16, 81, 57, , 29, , 12
2018/12/17, 137, 78, , 33, , 14
2018/12/18, 172, 52, , 20, , 8
2018/12/19, 138, 46, , 22, , 8
2018/12/20, 119, 53, , 29, , 11
2018/12/21, 138, 16, , 15, , 7
2018/12/22, 59, 19, , 14, , 7
2018/12/23, 61, 13, , 16, , 7
2018/12/24, 53, 21, , 10, , 6
2018/12/25, 65, 14, , 8, , 6
2018/12/26, 53, 21, , 14, , 7
2018/12/27, 67, 18, , 20, , 7
2018/12/28, 57, 25, , 20, , 8
2018/12/29, 72, 22, , 16, , 8
2018/12/30, 73, , , , , 
2018/7/1, 36, 20, , 17, , 5
2018/7/2, 41, 32, , 27, , 6
2018/7/3, 45, 39, , 39, , 7
2018/7/4, 54, 40, , 46, , 7
2018/7/5, 53, 32, , 26, , 6
2018/7/6, 52, 37, , 18, , 5
2018/7/7, 60, 24, , 15, , 5
2018/7/8, 50, 24, , 25, , 6
2018/7/9, 42, 21, , 15, , 4
2018/7/10, 44, 28, , 26, , 6
2018/7/11, 63, 31, , 34, , 7
2018/7/12, 74, 31, , 26, , 6
2018/7/13, 62, 19, , 14, , 5
2018/7/14, 60, 19, , 14, , 5
2018/7/15, 60, 23, , 25, , 8
2018/7/16, 63, 16, , 20, , 6
2018/7/17, 50, 23, , 19, , 6
2018/7/18, 64, 39, , 21, , 7
2018/7/19, 80, 43, , 23, , 7
2018/7/20, 80, 42, , 26, , 7
2018/7/21, 67, 37, , 26, , 8
2018/7/22, 71, 37, , 29, , 7
2018/7/23, 60, 45, , 35, , 7
2018/7/24, 64, 33, , 18, , 6
2018/7/25, 62, 33, , 23, , 7
2018/7/26, 61, 31, , 15, , 6
2018/7/27, 60, 31, , 12, , 6
2018/7/28, 69, 33, , 12, , 6
2018/7/29, 70, 29, , 18, , 6
2018/7/30, 63, 38, , 20, , 7
2018/7/31, 76, 32, , 20, , 6
2018/8/1, 69, 32, , 21, , 7
2018/8/2, 60, 58, , 38, , 8
2018/8/3, 77, 48, , 30, , 6
2018/8/4, 74, 23, , 17, , 4
2018/8/5, 47, 33, , 26, , 5
2018/8/6, 48, 40, , 36, , 6
2018/8/7, 57, 29, , 21, , 4
2018/8/8, 50, 32, , 16, , 4
2018/8/9, 57, 40, , 25, , 5
2018/8/10, 68, 18, , 23, , 6
2018/8/11, 55, 18, , 20, , 4
2018/8/12, 38, 30, , 33, , 6
2018/8/13, 59, 37, , 34, , 7
2018/8/14, 66, 24, , 17, , 5
2018/8/15, 57, 21, , 23, , 5
2018/8/16, 45, 23, , 20, , 5
2018/8/17, 49, 36, , 27, , 6
2018/8/18, 67, 39, , 32, , 8
2018/8/19, 76, 44, , 36, , 7
2018/8/20, 74, 36, , 25, , 6
2018/8/21, 51, 23, , 18, , 4
2018/8/22, 41, 33, , 20, , 5
2018/8/23, 62, 45, , 32, , 6
2018/8/24, 85, 25, , 22, , 6
2018/8/25, 66, 17, , 19, , 5
2018/8/26, 53, 23, , 29, , 6
2018/8/27, 52, 44, , 34, , 7
2018/8/28, 71, 26, , 27, , 5
2018/8/29, 57, 28, , 23, , 5
2018/8/30, 68, 37, , 32, , 7
2018/8/31, 74, 25, , 20, , 5
2018/9/1, 62, 23, , 9, , 3
2018/9/2, 61, 28, , 15, , 4
2018/9/3, 63, 44, , 26, , 6
2018/9/4, 78, 39, , 26, , 7
2018/9/5, 80, 42, , 32, , 8
2018/9/6, 79, 53, , 32, , 8
2018/9/7, 90, 46, , 21, , 6
2018/9/8, 93, 30, , 20, , 6
2018/9/9, 75, 31, , 33, , 7
2018/9/10, 62, 42, , 36, , 7
2018/9/11, 70, 40, , 42, , 8
2018/9/12, 60, 23, , 17, , 4
2018/9/13, 45, 18, , 20, , 5
2018/9/14, 51, 33, , 24, , 5
2018/9/15, 78, 31, , 27, , 7
2018/9/16, 62, 34, , 42, , 8
2018/9/17, 62, 44, , 41, , 8
2018/9/18, 89, 45, , 48, , 8
2018/9/19, 80, 52, , 62, , 9
2018/9/20, 93, 47, , 39, , 6
2018/9/21, 94, 32, , 18, , 4
2018/9/22, 50, 20, , 19, , 4
2018/9/23, 55, 9, , 16, , 4
2018/9/24, 29, 24, , 29, , 6
2018/9/25, 43, 26, , 29, , 6
2018/9/26, 59, 29, , 21, , 5
2018/9/27, 61, 31, , 28, , 6
2018/9/28, 62, 35, , 33, , 8
2018/9/29, 61, 24, , 28, , 6
2018/9/30, 59, 46, , 42, , 10
2018/4/1, 96, 23, , 11, , 17
2018/4/2, 71, 73, , 33, , 20
2018/4/3, 135, 64, , 32, , 22
2018/4/4, 117, 86, , 32, , 19
2018/4/5, 115, 135, , 27, , 18
2018/4/6, 96, 70, , 25, , 20
2018/4/7, 99, 77, , 18, , 20
2018/4/8, 137, 146, , 30, , 20
2018/4/9, 103, 135, , 20, , 13
2018/4/10, 103, 59, , 9, , 8
2018/4/11, 89, 49, , 11, , 8
2018/4/12, 98, 50, , 13, , 4
2018/4/13, 97, 50, , 30, , 5
2018/4/14, 84, 35, , 20, , 3
2018/4/15, 80, 62, , 33, , 4
2018/4/16, 100, 44, , 33, , 5
2018/4/17, 88, 54, , 34, , 4
2018/4/18, 82, 56, , 32, , 4
2018/4/19, 74, 61, , 44, , 5
2018/4/20, 70, 64, , 26, , 3
2018/4/21, 74, 42, , 25, , 3
2018/4/22, 54, 47, , 37, , 4
2018/4/23, 66, 47, , 27, , 3
2018/4/24, 88, 44, , 26, , 3
2018/4/25, 77, 35, , 28, , 3
2018/4/26, 58, 32, , 21, , 3
2018/4/27, 78, 57, , 34, , 6
